kara_gpa,kara_work,dave_gpa,dave_work,james_gpa,james_cf,linda_gpa,linda_cf,num1,num2,num3,num4,state,gender,education,pid - Selected Choice,pid - Other party (please specify below) - Text,pid_dem,pid_rep,pid_ind,political_attn,age,race,relig,"Thanks again for helping with our research. If you have any final questions or comments, feel free to leave them here. Please click through to the next screen to receive your MTurk code.",james_cond,cf_race,cf_spouse,cf_relig,linda,cf_race - Topics,james_dem,james_rep,james_partisan,james_no_cf,james_dem_cf,james_rep_cf,james_cf_n,james_cond_n,linda_cf_n
3.00 - 3.49,Kara works for a tech company,2.50 - 2.99,Very likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,New York,Male,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,6,18-29,White/Caucasian,Catholic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.50 - 3.79,Kara works for a tech company,3.50 - 3.79,Somewhat unlikely,3.50 - 3.79,James works in sales,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Georgia,Female,Some college,Democrat,NA,Not very strong Democrat,NA,NA,7,18-29,Black/African American,Agnostic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,1,0,0,2,Representative of Dems.,1
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.50 - 3.79,James works in sales,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.01,Washington,Female,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,7,30-39,White/Caucasian,Jewish,NA,control,white,Karen,NA,conservative,NA,0,0,0,1,0,0,2,Control,0
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Somewhat likely,3.50 - 3.79,James works in sales,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,California,Female,Some college,Democrat,NA,Not very strong Democrat,NA,NA,8,30-39,Hispanic/Latino,Atheist,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,1,0,0,2,Representative of Reps.,0
3.50 - 3.79,Kara works for a tech company,2.50 - 2.99,Somewhat unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Pennsylvania,Female,Bachelor's degree,Republican,NA,NA,Strong Republican,NA,9,50-64,White/Caucasian,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Very likely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,300,10,1 in 12,0.01,New Mexico,Female,Bachelor's degree,Independent,NA,NA,NA,Closer to Democratic,5,50-64,White/Caucasian,Agnostic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a financial company,3.50 - 3.79,Very likely,3.80 - 4.00,James works in sales,3.80 - 4.00,Linda is a bank teller,500,10,1 in 12,0.001,Arizona,Female,Some college,Independent,NA,NA,NA,Closer to Democratic,9,30-39,Asian,Other,NA,control,white,Karen,NA,conservative,NA,0,0,0,1,0,0,2,Control,0
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.001,Oregon,Male,Some college,Democrat,NA,Not very strong Democrat,NA,NA,10,40-49,White/Caucasian,Agnostic,Thank you,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.00 - 3.49,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,California,Male,Advanced degree,Democrat,NA,Not very strong Democrat,NA,NA,8,40-49,White/Caucasian,"Evangelical Protestant (e.g., Baptist, Pentecostal)",NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,2.50 - 2.99,Somewhat unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,California,Male,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,8,40-49,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",Thanks for the survey. It was interesting to consider people's academic and professional achievements based on the provided descriptions. I enjoyed the task.,control,white,Karen,NA,conservative,NA,0,0,0,0,0,1,3,Control,0
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,600,10,1 in 12,1,California,Female,Some college,Democrat,NA,Not very strong Democrat,NA,NA,6,18-29,White/Caucasian,NA,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.50 - 3.79,Kara works for a financial company,3.00 - 3.49,Neither likely nor unlikely,3.50 - 3.79,James works in sales,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.01,Wisconsin,Female,High school degree or equivalent,Independent,NA,NA,NA,Neither,2,30-39,White/Caucasian,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,1,0,0,2,Representative of Reps.,1
3.50 - 3.79,Kara works for a tech company,3.50 - 3.79,Neither likely nor unlikely,3.80 - 4.00,James works in sales,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,1,1 in 12,1,Florida,Male,Some college,Democrat,NA,Strong Democrat,NA,NA,6,30-39,White/Caucasian,Other,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,1,0,0,2,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,2.50 - 2.99,Very unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,Virginia,Male,Advanced degree,Independent,NA,NA,NA,Closer to Democratic,9,30-39,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",Thanks!,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,0
3.50 - 3.79,Kara works for a tech company,3.50 - 3.79,Neither likely nor unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.001,North Carolina,Male,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,10,50-64,Hispanic/Latino,Catholic,NA,control,white,Karen,NA,liberal,NA,0,0,0,0,0,1,3,Control,1
3.80 - 4.00,Kara works for a financial company,3.00 - 3.49,Very likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Minnesota,Male,Bachelor's degree,Independent,NA,NA,NA,Closer to Republican,2,40-49,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,control,white,Karen,NA,liberal,NA,0,0,0,0,1,0,1,Control,1
3.50 - 3.79,Kara works for a financial company,3.00 - 3.49,Somewhat likely,3.80 - 4.00,James works in sales,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.01,Louisiana,Female,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,7,18-29,White/Caucasian,Agnostic,NA,control,white,Karen,NA,conservative,NA,0,0,0,1,0,0,2,Control,1
3.50 - 3.79,Kara works for a financial company,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,1,1 in 12,1,Illinois,Male,Some college,Democrat,NA,Strong Democrat,NA,NA,7,40-49,White/Caucasian,Catholic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a financial company,3.50 - 3.79,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,450,10,1 in 12,0.1,California,Female,High school degree or equivalent,Republican,NA,NA,Not very strong Republican,NA,6,50-64,White/Caucasian,Other,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,1,0,1,Representative of Reps.,1
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Neither likely nor unlikely,3.50 - 3.79,James works in sales,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.10%,Colorado,Female,Advanced degree,Democrat,NA,Strong Democrat,NA,NA,4,30-39,White/Caucasian,Other,NA,control,white,Karen,NA,liberal,NA,0,0,0,1,0,0,2,Control,1
3.50 - 3.79,Kara works for an art museum,3.80 - 4.00,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,600,10,1 in 12,0.1,North Carolina,Male,Some college,Democrat,NA,Strong Democrat,NA,NA,9,50-64,White/Caucasian,Other,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,0,1,3,Representative of Dems.,1
3.50 - 3.79,Kara works for a financial company,3.50 - 3.79,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.80 - 4.00,Linda is a bank teller,600,1,1 in 12,1%,South Carolina,Male,Advanced degree,Other party (please specify below),Libertarian,NA,NA,Closer to Republican,9,30-39,White/Caucasian,"Evangelical Protestant (e.g., Baptist, Pentecostal)",NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,0
3.50 - 3.79,Kara works for a tech company,3.50 - 3.79,Very likely,3.50 - 3.79,James works in sales,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,150,10,1 in 12,0.01,Connecticut,Female,Bachelor's degree,Independent,NA,NA,NA,Closer to Democratic,7,40-49,Black/African American,"Evangelical Protestant (e.g., Baptist, Pentecostal)",NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,1,0,0,2,Representative of Reps.,1
3.00 - 3.49,Kara works for an art museum,3.00 - 3.49,Somewhat likely,3.50 - 3.79,James works in sales,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.01,North Carolina,Female,Bachelor's degree,Independent,NA,NA,NA,Closer to Democratic,2,18-29,White/Caucasian,Atheist,NA,control,white,Karen,NA,liberal,NA,0,0,0,1,0,0,2,Control,1
3.50 - 3.79,Kara works for a tech company,3.50 - 3.79,Very likely,3.00 - 3.49,James works in sales,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,1,1 in 12,10,Illinois,Male,Bachelor's degree,Independent,NA,NA,NA,Neither,0,30-39,White/Caucasian,Catholic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,1,0,0,2,Representative of Dems.,1
3.00 - 3.49,Kara works for an art museum,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller,500,10,1 in 12,0.1,North Carolina,Female,Advanced degree,Democrat,NA,Not very strong Democrat,NA,NA,6,50-64,Black/African American,Other,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,0
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat unlikely,3.80 - 4.00,James works in sales,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Alabama,Female,Advanced degree,Other party (please specify below),Libertarian,NA,NA,Closer to Republican,1,40-49,"White/Caucasian,Asian",Agnostic,NA,control,white,Karen,NA,liberal,NA,0,0,0,1,0,0,2,Control,1
3.80 - 4.00,Kara works for a tech company,2.49 or below,Very unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Texas,Male,Some college,Democrat,NA,Strong Democrat,NA,NA,10,18-29,Hispanic/Latino,Catholic,Great survey!,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.00 - 3.49,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,0.1,1 in 12,10,Kentucky,Female,Some college,Democrat,NA,Not very strong Democrat,NA,NA,9,50-64,White/Caucasian,"Evangelical Protestant (e.g., Baptist, Pentecostal)",NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,1,0,0,2,Representative of Dems.,1
3.00 - 3.49,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,2.50 - 2.99,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,California,Female,Advanced degree,Democrat,NA,Not very strong Democrat,NA,NA,10,30-39,Asian,Catholic,"Good survey, thank you.",rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.00 - 3.49,Kara works for a tech company,3.50 - 3.79,Very unlikely,3.50 - 3.79,James works in sales,3.00 - 3.49,Linda is a bank teller,500,10,1 in 12,0.1,Massachusetts,Female,Bachelor's degree,Independent,NA,NA,NA,Closer to Republican,7,40-49,White/Caucasian,Agnostic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,1,0,0,2,Representative of Dems.,0
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Very likely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,1,Georgia,Female,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,10,18-29,"White/Caucasian,Black/African American","Evangelical Protestant (e.g., Baptist, Pentecostal)","Sometimes it is hard to pigeon hole someone by a quick snap shot. Having said that, it's probably more accurate than it seems.",control,white,Karen,NA,liberal,NA,0,0,0,0,0,1,3,Control,1
3.50 - 3.79,Kara works for a financial company,2.50 - 2.99,Neither likely nor unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,California,Female,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,6,18-29,White/Caucasian,Atheist,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.50 - 3.79,Kara works for a financial company,3.00 - 3.49,Very unlikely,3.50 - 3.79,James works in sales,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.001,Oregon,Male,Some college,Democrat,NA,Not very strong Democrat,NA,NA,2,18-29,White/Caucasian,Atheist,NA,control,white,Karen,NA,liberal,NA,0,0,0,1,0,0,2,Control,1
3.50 - 3.79,Kara works for an art museum,3.00 - 3.49,Somewhat likely,3.50 - 3.79,James works in sales,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,Pennsylvania,Male,Some college,Independent,NA,NA,NA,Neither,7,30-39,White/Caucasian,Atheist,NA,control,white,Karen,NA,liberal,NA,0,0,0,1,0,0,2,Control,0
3.80 - 4.00,Kara works for a financial company,3.00 - 3.49,Somewhat unlikely,3.50 - 3.79,James works in sales,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.10%,New York,Female,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,0,18-29,Hispanic/Latino,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,1,0,0,2,Representative of Reps.,1
3.50 - 3.79,Kara works for a financial company,3.00 - 3.49,Neither likely nor unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.5,California,Male,Bachelor's degree,Independent,NA,NA,NA,Closer to Democratic,7,18-29,White/Caucasian,Jewish,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,New York,Female,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,9,30-39,White/Caucasian,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,10,Georgia,Female,High school degree or equivalent,Democrat,NA,Not very strong Democrat,NA,NA,7,18-29,White/Caucasian,Other,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.50 - 3.79,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.80 - 4.00,Linda is a bank teller,500,10,1 in 12,0.001,Pennsylvania,Male,High school degree or equivalent,Independent,NA,NA,NA,Closer to Republican,9,50-64,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,0
3.50 - 3.79,Kara works for a tech company,2.50 - 2.99,Neither likely nor unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,50%,100,1 in 12,0.10%,New York,Female,Some college,Other party (please specify below),Green,NA,NA,Closer to Democratic,7,18-29,Hispanic/Latino,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.00 - 3.49,Kara works for a financial company,3.00 - 3.49,Somewhat unlikely,3.00 - 3.49,James works in sales,2.50 - 2.99,Linda is a bank teller,500,10,1 in 12,0.1,New Jersey,Male,Advanced degree,Republican,NA,NA,Not very strong Republican,NA,1,30-39,White/Caucasian,Agnostic,Thanks for the work,control,white,Karen,NA,liberal,NA,0,0,0,1,0,0,2,Control,0
3.50 - 3.79,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,New Jersey,Male,Advanced degree,Independent,NA,NA,NA,Closer to Democratic,7,18-29,Native Hawaiian or other Pacific Islander,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,1,0,0,2,Representative of Reps.,0
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Very likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,1,Pennsylvania,Female,High school degree or equivalent,Democrat,NA,Strong Democrat,NA,NA,0,50-64,White/Caucasian,Other,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,1,0,1,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,30,10,1 in 12,10,Maryland,Female,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,9,30-39,White/Caucasian,Other,Thank You,control,white,Karen,NA,conservative,NA,0,0,0,0,0,1,3,Control,1
3.50 - 3.79,Kara works for an art museum,3.00 - 3.49,Very unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,Illinois,Male,Advanced degree,Independent,NA,NA,NA,Closer to Democratic,5,40-49,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,0
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Montana,Female,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,7,50-64,White/Caucasian,Agnostic,none,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.00 - 3.49,Kara works for a financial company,3.00 - 3.49,Neither likely nor unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,1,Texas,Male,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,5,30-39,White/Caucasian,Agnostic,NA,control,white,Karen,NA,liberal,NA,0,0,0,0,0,1,3,Control,1
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat likely,3.00 - 3.49,James works in sales,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,North Carolina,Male,Advanced degree,Republican,NA,NA,Not very strong Republican,NA,6,50-64,White/Caucasian,"Evangelical Protestant (e.g., Baptist, Pentecostal)",nothing now,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,1,0,0,2,Representative of Dems.,0
3.00 - 3.49,Kara works for a financial company,2.50 - 2.99,Somewhat unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,2.50 - 2.99,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Florida,Male,Some college,Republican,NA,NA,Strong Republican,NA,8,50-64,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,control,white,Karen,NA,liberal,NA,0,0,0,0,0,1,3,Control,1
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.80 - 4.00,Linda is a bank teller,500,10,1 in 12,0.1,Florida,Male,Some college,Democrat,NA,Not very strong Democrat,NA,NA,6,30-39,White/Caucasian,Atheist,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,1,0,1,Representative of Reps.,0
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Neither likely nor unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,25,10,1 in 12,0.1,California,Female,Some college,Democrat,NA,Not very strong Democrat,NA,NA,10,18-29,White/Caucasian,Atheist,NA,control,white,Karen,NA,liberal,NA,0,0,0,0,1,0,1,Control,1
3.80 - 4.00,Kara works for a financial company,3.00 - 3.49,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,3,10,1 in 12,0.01,Florida,Female,Advanced degree,Democrat,NA,Strong Democrat,NA,NA,2,50-64,"White/Caucasian,Native American or Alaska Native","Evangelical Protestant (e.g., Baptist, Pentecostal)",none,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.50 - 3.79,Kara works for a financial company,3.00 - 3.49,Somewhat likely,2.50 - 2.99,James works in sales,3.50 - 3.79,Linda is a bank teller,600,10,1 in 12,0.001,Florida,Male,High school degree or equivalent,Independent,NA,NA,NA,Closer to Republican,5,18-29,"White/Caucasian,Black/African American",Agnostic,Great Study.,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,1,0,0,2,Representative of Reps.,0
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Neither likely nor unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,California,Female,High school degree or equivalent,Democrat,NA,Strong Democrat,NA,NA,10,30-39,White/Caucasian,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,0
3.50 - 3.79,Kara works for a financial company,3.50 - 3.79,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,276,10,1 in 12,1,Pennsylvania,Female,Bachelor's degree,Independent,NA,NA,NA,Neither,4,40-49,White/Caucasian,Catholic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.50 - 3.79,Kara works for a financial company,2.50 - 2.99,Neither likely nor unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,333,10,1 in 12,0.0001,California,Male,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,6,30-39,Asian,Buddhist,Thank you.,control,white,Karen,NA,conservative,NA,0,0,0,0,0,1,3,Control,1
3.50 - 3.79,Kara works for a financial company,3.00 - 3.49,Very likely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,1,North Carolina,Male,High school degree or equivalent,Democrat,NA,Strong Democrat,NA,NA,10,30-39,White/Caucasian,"Evangelical Protestant (e.g., Baptist, Pentecostal)",It was fun and i enjoyed taking it.,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.50 - 3.79,Kara works for a tech company,2.50 - 2.99,Somewhat unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Pennsylvania,Male,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,7,30-39,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
